Prefix, Date, Type, Value, Status 
rasp1, Mon Oct 20 21:56:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 21:57:40 2014, humidity, 56.90, 0 
rasp1, Mon Oct 20 21:57:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 21:58:40 2014, humidity, 56.80, 0 
rasp1, Mon Oct 20 21:58:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 21:59:40 2014, humidity, 56.40, 0 
rasp1, Mon Oct 20 21:59:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:00:40 2014, humidity, 56.60, 0 
rasp1, Mon Oct 20 22:00:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:01:41 2014, humidity, 56.20, 0 
rasp1, Mon Oct 20 22:01:41 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:02:41 2014, humidity, 54.50, 0 
rasp1, Mon Oct 20 22:02:41 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:03:41 2014, humidity, 55.80, 0 
rasp1, Mon Oct 20 22:03:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:04:41 2014, humidity, 55.90, 0 
rasp1, Mon Oct 20 22:04:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:05:41 2014, humidity, 55.50, 0 
rasp1, Mon Oct 20 22:05:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:06:41 2014, humidity, 55.00, 0 
rasp1, Mon Oct 20 22:06:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:07:41 2014, humidity, 55.30, 0 
rasp1, Mon Oct 20 22:07:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:08:41 2014, humidity, 55.90, 0 
rasp1, Mon Oct 20 22:08:41 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:09:41 2014, humidity, 56.20, 0 
rasp1, Mon Oct 20 22:09:41 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:10:41 2014, humidity, 56.20, 0 
rasp1, Mon Oct 20 22:10:41 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:11:41 2014, humidity, 58.80, 0 
rasp1, Mon Oct 20 22:11:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:12:41 2014, humidity, 56.10, 0 
rasp1, Mon Oct 20 22:12:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:13:41 2014, humidity, 56.70, 0 
rasp1, Mon Oct 20 22:13:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:14:41 2014, humidity, 58.10, 0 
rasp1, Mon Oct 20 22:14:41 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:15:41 2014, humidity, 55.80, 0 
rasp1, Mon Oct 20 22:15:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:16:41 2014, humidity, 58.00, 0 
rasp1, Mon Oct 20 22:16:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:17:41 2014, humidity, 58.90, 0 
rasp1, Mon Oct 20 22:17:41 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 22:18:41 2014, humidity, 56.60, 0 
rasp1, Mon Oct 20 22:18:41 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 22:19:41 2014, humidity, 54.20, 0 
